PRESS SPACE,APPUIE SUR ESPACE,DRÜCKE LEERTASTE,PULSA ESPACIO,PREMI SPAZIO,TRYCK MELLANSLAG
PRESS START,APPUIE SUR START,DRÜCKE START,PULSA START,PREMI START,TRYCK START
PRESS SPACE TO CONTINUE,APPUIE SUR ESPACE POUR CONTINUER,DRÜCKE LEERTASTE UM FORTZUFAHREN,PULSA ESPACIO PARA CONTINUAR,PREMI SPAZIO PER CONTINUARE,TRYCK MELLANSLAG FÖR ATT FORTSÄTTA
PRESS START TO CONTINUE,APPUIE SUR START POUR CONTINUER,DRÜCKE START UM FORTZUFAHREN,PULSA START PARA CONTINUAR,PREMI START PER CONTINUARE,TRYCK START FÖR ATT FORTSÄTTA
PRESS ESC TO GO BACK,APPUIE SUR ÉCHAP POUR REVENIR EN ARRIÈRE,,,PREMI ESC PER TORNARE INDIETRO,
,,,,,
1 TRY REMAINING,1 ESSAI RESTANT,1 VERSUCH ÜBRIG,1 NUEVA OPORTUNIDAD,1 TENTATIVO RIMANENTE,1 FÖRSÖK KVAR
2 TRIES REMAINING,2 ESSAIS RESTANTS,2 VERSUCHE ÜBRIG,2 OPORTUNIDADES MAS,2 TENTATIVI RIMANENTI,2 FÖRSÖK KVAR
3 TRIES REMAINING,3 ESSAIS RESTANTS,3 VERSUCHE ÜBRIG,3 OPORTUNIDADES MAS,3 TENTATIVI RIMANENTI,3 FÖRSÖK KVAR
,,,,,
L,T,R,V,G,V
LAP,TOUR,RUNDE,VUELTA,GIRO,VARV
LAP 2,TOUR 2,RUNDE 2,SEGUNDA VUELTA,SECONDO GIRO,VARV 2
FINAL LAP,DERNIER TOUR,LETZTE RUNDE,ULTIMA VUELTA,ULTIMO GIRO,SISTA VARVET
,,,,,
PLAYER,JOUEUR,SPIELER,JUGADOR,GIOCATORE,SPELARE
RED TEAM,ÉQUIPE ROUGE,,,SQUADRA ROSSA,RÖTT LAG
GREEN TEAM,ÉQUIPE VERTE,,,SQUADRA VERDE,GRÖNT LAG
KEYBOARD,CLAVIER,TASTATUR,TECLADO,TASTIERA,TANGENTBORD
GAMEPAD,MANETTE,GAMEPAD,MANDO,GAMEPAD,HANDKONTROLL
,,,,,
BROG,BROG,BROG,BROG,BROG,BROG
GRAG,GRAG,GRAG,GRAG,GRAG,GRAG
,,,,,
DESERT,DÉSERT,WÜSTE,DESIERTO,DESERTO,ÖKNEN
JUNGLE,JUNGLE,DSCHUNGEL,JUNGLA,GIUNGLA,DJUNGELN
GLACIERS,GLACIER,GLETSCHER,GLACIAR,GHIACCIAIO,GLACIÄREN
CRETE,CRÈTE,KRETA,CRETA,CRETA,KRETA
THE GREAT WALL,GRANDE MURAILLE,GROSSE MAUER,GRAN MURALLA,GRANDE MURAGLIA,DEN STORA MUREN
GIZA,GIZEH,GIZEH,GIZA,GIZA,GIZA
MEDIEVAL,MÉDIÉVAL,MITTELALTER,MEDIEVAL,MEDIEVALE,MEDELTIDEN
VIKING VILLAGE,VILLAGE VIKING,WIKINGERDORF,PUEBLO VIKINGO,VILLAGGIO VICHINGO,VIKINGABYN
ATLANTIS,ATLANTIDE,ATLANTIS,ATLANTIS,ATLANTIDE,ATLANTIS
STONEHENGE,STONEHENGE,,,STONEHENGE,
AZTEC CITY,CITÉ AZTÈQUE,,,CITTÀ AZTECA,
COLISEUM,COLISÉE,,,COLOSSEO,
MAZE,LABYRINTHE,,,LABIRINTO,
CELTIC,CELTIQUE,,,CELTICO,
TAR PITS,GISEMENTS,,,FOSSE DI CATRAME,
MOUNT CONGE,MONT CONGE,,,MONTE CONGE,
RAMPS,RAMPES,,,RAMPE,
,,,,,
"COMPLETE THE STONE AGE
IN TOURNAMENT MODE
TO UNLOCK THIS TRACK!","CONQUIERS L'ÂGE DE PIERRE
EN MODE TOURNOI POUR
DÉBLOQUER CETTE PISTE!",,,"COMPLETA L'ETÀ DELLA PIETRA
IN MODALITÀ TORNEO
PER SBLOCCARE QUESTA PISTA!",
"COMPLETE THE BRONZE AGE
IN TOURNAMENT MODE
TO UNLOCK THIS TRACK!","CONQUIERS L'ÂGE DE BRONZE
EN MODE TOURNOI POUR
DÉBLOQUER CETTE PISTE!",,,"COMPLETA L'ETÀ DEL BRONZO
IN MODALITÀ TORNEO
PER SBLOCCARE QUESTA PISTA!",
,,,,,
MAMMOTH MOBILE,MAMMOUTH MOBILE,,,MAMMUT-MOBILE,
BONE BUGGY,SQUELETTITINE,,,CARROZZINA DI OSSA,
GEODE CRUISER,GÉODEUDEUCHE,,,INCROCIATORE CAVO,
LOGMOBILE,TURBO-BILLOT,,,TRONCO-MOBILE,
TURTLE TANK,DÉCAPO-TORTUE,,,CARRO TARTARUGATO,
HOT ROCK,CHOPATATE,,,ROCCIA SCOTTANTE,
TROJAN HORSE,SUV DE TROIE,,,CAVALLO DI TROIA,
OBELISK,OBÉLISQUE,,,OBELISCO,
CATAPULT,4X4-À-PULTE,,,CATAPULTA,
CHARIOT,CHARIOT,,,CARRO,
SUBMARINE,SOUS-MARIN,,,SOTTOMARINO,
,,,,,
SPEED,VITESSE,GESCHWINDIGKEIT,VELOCIDAD,VELOCITÀ,FART
ACCELERATION,ACCÉLÉRATION,BESCHLEUNIGUNG,ACELERACIÓN,ACCELERAZIONE,ACCELERATION
TRACTION,ADHÉRENCE,HAFTUNG,AGARRE,ADERENZA,VÄGGREPP
SUSPENSION,SUSPENSION,RADAUFHÄNGUNG,SUSPENSIÓN,SOSPENSIONI,FJÄDRING
,,,,,
SPEED,VITESSE,GESCHW.,VELOC.,VELOC.,FART
ACCEL.,ACCÉL.,BESCHL.,ACEL.,ACCEL.,ACCEL.
TRAC.,ADHÉR.,HAFTUNG,AGARRE,ADER.,VÄGGR.
SUSP.,SUSP.,RADAUFH.,SUSP.,SOSP.,FJÄDR.
,,,,,
````````,,,,,
\```````,,,,,
\\``````,,,,,
\\\`````,,,,,
\\\\````,,,,,
\\\\\```,,,,,
\\\\\\``,,,,,
\\\\\\\`,,,,,
\\\\\\\\,,,,,
,,,,,
ELIMINATED,ÉLIMINÉ,,,ELIMINATO,
YOU WIN!,GAGNÉ !,GEWONNEN!,GANAS!,HAI VINTO!,DU VANN!
YOU LOSE,PERDU,VERLOREN!,PIERDES!,HAI PERSO!,DU FÖRLORADE!
WINS,A GAGNÉ,,,VITTORIE,
YOUR TIME,TON TEMPS,,,IL TUO TEMPO,
BEST TIME,RECORD,,,TEMPO MIGLIORE,
TOTAL TIME,TEMPS TOTAL,,,TEMPO TOTALE,
NEW RECORD!!,RECORD BATTU!!,,,NUOVO RECORD!!,
,,,,,
BONE BOMB,BOMBE FÉMUR,KNOCHENBOMBE,,OSSO BOMBA,BENBOMB
OIL SLICK,TACHE D'HUILE,ÖLSCHLICK,,GOCCE D'OLIO,OLJEFLÄCK
NITRO,NITRO,NITRO,,NITRO,NITRO
HOMING PIGEON,PIGEON VOYAGEUR,BRIEFTAUBE,,PICCIONE VIAGGIATORE,SÖKARDUVA
BOTTLE ROCKET,FUSÉE EN BOUTEILLE,FLASCHENRAKETE,,BOTTIGLIA A RAZZO,FLASKRAKET
ROMAN CANDLE,CHANDELLE ROMAINE,LEUCHTKUGEL,,CANDELA ROMANA,ROMERSKT LJUS
TORPEDO,TORPILLE,TORPEDO,,SILURO,TORPED
FREEZE BOMB,BOMBE GLAÇANTE,FROSTBOMBE,,BOMBE CONGELANTI,FRYSBOMB
LAND MINE,MINE,LANDMINE,,MINA DI TERRA,LANDMINA
STICKY TIRES,PNEUS ADHÉRENTS,SPIKES RÄDER,,GOMME ADERENTI,GREPPDÄCK
SUPER SUSPENSION,SUPER SUSPENSIONS,SUPER RAUDAUFHÄNGUNG,,SUPER SOSPENSIONI,SUPERFJÄDRING
INVISIBILITY,INVISIBILITÉ,UNSICHTBARKEIT,,INVISIBILITÀ,OSYNLIGHET
,,,,,
LANGUAGE,LANGUE,SPRACHE,IDIOMA,LINGUA,SPRÅK
DIFFICULTY,DIFFICULTÉ,SCHWIERIGKEIT,DIFICULTAD,DIFFICOLTÀ,SVÅRIGHET
SIMPLISTIC,ENFANTIN,SEHR EINFACH,MUY FÁCIL,MOLTO FACILE,MYCKET LÄTT
EASY,DÉBUTANT,EINFACH,FÁCIL,FACILE,LÄTT
MEDIUM,CONFIRMÉ,MITTEL,MEDIO,MEDIO,LAGOM
HARD,EXPERT,SCHWER,DIFÍCIL,DIFFICILE,SVÅRT
\```,,,,,
\\``,,,,,
\\\`,,,,,
\\\\,,,,,
"TO WIN, KEEP AWAY FROM ''IT''!","POUR GAGNER, FUYEZ LE CHAT !",,,"PER VINCERE, SCHIVA IL GIOCATORE CONTRASSEGNATO!","HÅLL DIG BORTA FRÅN DEN MARKERADE
SPELAREN FÖR ATT VINNA!"
"TO WIN, TRY TO BECOME ''IT''!","POUR GAGNER, DEVENEZ LE CHAT !",,,"PER VINCERE, INSEGUI IL GIOCATORE CONTRASSEGNATO!",BLI MARKERAD FÖR ATT VINNA!
"KEEP PLAYING UNTIL ''IT''
HAS BEEN TAGGED FOR...","LA PARTIE PREND FIN
QUAND LE CHAT A DURÉ...",,,"CONTINUA A GIOCARE FINCHÈ IL GIOCATORE
È STATO CONTRASSEGNATO PER...","SPELET TAR SLUT NÄR
NÅGON VARIT MARKERAD I..."
2 MINUTES,2 MINUTES,2 MINUTEN,2 MINUTOS,2 MINUTI,2 MINUTER
3 MINUTES,3 MINUTES,3 MINUTEN,3 MINUTOS,3 MINUTI,3 MINUTER
4 MINUTES,4 MINUTES,4 MINUTEN,4 MINUTOS,4 MINUTI,4 MINUTER
CONTROLS,COMMANDES,STEUERUNG,COMANDOS,COMANDI,KONTROLL
SOUND,AUDIO,TON,SONIDO,AUDIO,LJUD
GRAPHICS,GRAPHISME,BILD,GRÁFICOS,VIDEO,BILD
"TIP: PRESS ALT+ENTER
TO TOGGLE FULLSCREEN","CONSEIL: APPUIE SUR ALT+ENTRÉE
POUR PASSER EN PLEIN ÉCRAN",,,"SUGGERIMENTO: PREMI ALT+ENTER
PER ALTERNARE TRA SCHERMO INTERO E FINESTRA",
FULLSCREEN,PLEIN ÉCRAN,VOLLBILD,PANTALLA COMPLETA,SCHERMO INTERO,FULLSKÄRM
ANTIALIASING,ANTICRÉNELAGE,ANTIALIASING,ANTIALIASING,ANTIALIASING,KANTUTJÄMNING
MSAA 2X,,,,,
MSAA 4X,,,,,
MSAA 8X,,,,,
PREFERRED DISPLAY,ÉCRAN PRÉFÉRÉ,,,SCHERMO PREFERITO,
DISPLAY,ÉCRAN,ANZEIGE,PANTALLA,SCHERMO,SKÄRM
"THE NEW ANTIALIASING LEVEL WILL TAKE
EFFECT WHEN YOU RESTART THE GAME.","LE NOUVEAU NIVEAU D'ANTICRÉNELAGE SERA
EFFECTIF APRÈS UN REDÉMARRAGE DU JEU.",,,"IL NUOVO LIVELLO DI ANTIALIASING AVRÀ
EFFETTO QUANTO RIAVVIERAI IL GIOCO.",
,,,,,
MUSIC VOLUME,VOLUME MUSIQUE,MUSIKLAUTSTÄRKE,VOLUMEN MÚSICA,VOLUME MUSICA,MUSIKVOLYM
EFFECTS VOLUME,VOLUME BRUITAGES,EFFEKTLAUTSTÄRKE,VOLUMEN EFECTOS,VOLUME EFFETTI,EFFEKTVOLYM
`````,,,,,
\````,,,,,
\\```,,,,,
\\\``,,,,,
\\\\`,,,,,
\\\\\,,,,,
,,,,,
KEYBOARD SETUP,COMMANDES CLAVIER,TASTATUR KONFIGURIEREN,CONFIGURAR EL TECLADO,CONFIGURA LA TASTIERA,STÄLL IN TANGENTBORD
GAMEPAD SETUP,COMMANDES MANETTE,GAMEPAD KONFIGURIEREN,CONFIGURAR EL MANDO,CONFIGURA IL GAMEPAD,STÄLL IN HANDKONTROLL
MOUSE SETUP,COMMANDES SOURIS,MAUS KONFIGURIEREN,CONFIGURAR EL RATÓN,CONFIGURA IL MOUSE,STÄLL IN MUS
"PRESS [RETURN] TO ASSIGN A NEW KEY,
OR [X] TO CLEAR IT","APPUIE SUR [ENTRÉE] POUR RÉAFFECTER
UNE TOUCHE, OU [X] POUR L'EFFACER",,,"PREMI [INVIO] PER ASSEGNARE UN NUOVO
TASTO, OPPURE [X] PER RIMUOVERLO","TRYCK PÅ [ENTER] FÖR ATT TILLDELA EN NY
TANGENT, ELLER [X] FÖR ATT RENSA"
"PRESS [A] TO ASSIGN A NEW BUTTON,
OR [X] TO CLEAR IT","APPUIE SUR [A] POUR RÉAFFECTER
UN BOUTON, OU [X] POUR L'EFFACER",,,"PREMI [A] PER ASSEGNARE UN NUOVO
BOTTONE, OPPURE [X] PER RIMUOVERLO","TRYCK PÅ [A] FÖR ATT TILLDELA EN NY
KNAPP, ELLER [X] FÖR ATT RENSA"
"PRESS A KEY NOW, OR [ESC] TO CANCEL","APPUIE SUR LA TOUCHE DE TON CHOIX,
OU [ÉCHAP] POUR ANNULER",,,"PREMI UN TASTO ORA,
OPPURE [ESC] PER ANNULLARE","TRYCK PÅ VALFRI TANGENT NU,
ELLER [ESC] FÖR ATT AVBRYTA"
"PRESS A BUTTON NOW, OR [START] TO CANCEL","APPUIE SUR LE BOUTON DE TON CHOIX,
OU [START] POUR ANNULER",,,"PREMI UN BOTTONE ORA,
OPPURE [START] PER ANNULLARE","TRYCK PÅ VALFRI KNAPP NU,
ELLER [START] FÖR ATT AVBRYTA"
NO GAMEPAD DETECTED,AUCUNE MANETTE DÉTECTÉE,KEIN GAMEPAD ERKANNT,,NESSUN GAMEPAD RILEVATO,INGEN HANDKONTROLL HITTADES
NOTE: YOU CAN ALWAYS STEER WITH THE LEFT STICK.,NOTE: LE STICK GAUCHE SERT TOUJOURS À SE DIRIGER.,,,NOTA: PUOI SEMPRE STERZARE CON LO STICK SINISTRO,OBS: DET GÅR ALLTID ATT STYRA MED VÄNSTERSPAKEN
RUMBLE,VIBRATION,VIBRATION,VIBRACIÓN,VIBRAZIONE,VIBRATION
,,,,,
BACK,RETOUR,ZURÜCK,ATRÁS,INDIETRO,TILLBAKA
OK,OK,OK,OK,OK,OK
CANCEL,ANNULER,ABBRECHEN,CANCELAR,ANNULLA,AVBRYT
YES,OUI,JA,SÍ,SÌ,JA
NO,NON,NEIN,NO,NO,NEJ
ON,OUI,EIN,SÍ,SÌ,PÅ
OFF,NON,AUS,NO,NO,AV
,,,,,
PRESS!,APPUIE!,DRÜCK!,,PREMI!,TRYCK!
CLICK!,CLIQUE!,,,FAI CLICK!,
RESTORE DEFAULT CONFIGURATION,RESTAURER LA CONFIGURATION PAR DÉFAUT,STANDARDKONFIGURATION ZURÜCKSETZEN,,RIPRISTINA LA CONFIGURAZIONE PREDEFINITA,ÅTERSTÄLL STANDARDKONFIGURATION
LEFT CLICK,CLIC GAUCHE,,,CLICK SINISTRO,
MIDDLE CLICK,CLIC MILIEU,,,CLICK CENTRALE,
RIGHT CLICK,CLIC DROIT,,,CLICK DESTRO,
BUTTON,BOUTON,,,BOTTONE,KNAPP
SCROLL UP,DÉFILER VERS LE HAUT,,,SCORRI VERSO L'ALTO,
SCROLL DOWN,DÉFILER VERS LE BAS,,,SCORRI VERSO IL BASSO,
...,,,,,
THROW AHEAD,JETER EN FACE,,,LANCIA IN AVANTI,KASTA FRAM
THROW BEHIND,JETER DERRIÈRE,,,LANCIA INDIETRO,KASTA BAK
BRAKES,FREINER,BREMSEN,,FRENA,BROMSA
GAS,AVANCER,VORWÄRTS,,AVANTI,FRAMÅT
REVERSE,RECULER,RÜCKWÄRTS,,INDIETRO,BACKA
CAMERA MODE,MODE CAMÉRA,KAMERAMODUS,,MODALITÀ CAMERA,KAMERALÄGE
REAR VIEW,RÉTROVISEUR,RÜCKSPIEGEL,,RETROVISORE,BACKSPEGEL
STEER LEFT,TOURNER À G.,NACH LINKS,,STERZA A SINISTRA,SVÄNG V.
STEER RIGHT,TOURNER À D.,NACH RECHTS,,STERZA A DESTRA,SVÄNG H.
,,,,,
RESET TOURNAMENT PROGRESS,EFFACER SAUVEGARDE TOURNOI,TURNIERFORTSCHRITT LÖSCHEN,,RIPRISTINA I PROGRESSI DEI TORNEI,RADERA FRAMSTEG I TURNERINGEN
"ARE YOU SURE YOU WANT
TO ERASE YOUR PROGRESS?","VEUX-TU VRAIMENT
EFFACER TA SAUVEGARDE ?",,,"SICURO DI VOLER
CANCELLARE I PROGRESSI?",
"YOU WILL LOSE THE CARS AND THE
TRACKS THAT YOU HAVE UNLOCKED!","TU PERDRAS LES VOITURES ET LES
CIRCUITS QUE TU AS DÉBLOQUÉS !",,,"PERDERAI TUTTE LE AUTO E LE
PISTE CHE HAI SBLOCCATO!",
NEVER MIND,NON MERCI,NEIN DANKE,,NO GRAZIE,NEJ TACK
,,,,,
CONNECT,BRANCHEZ,BITTE,,COLLEGA,"KOPPLA IN YTTERLIGARE
"
1 MORE CONTROLLER,1 MANETTE DE PLUS,1 WEITEREN CONTROLLER,,ANCORA 1 CONTROLLER,1 HANDKONTROLL
2 MORE CONTROLLERS,2 MANETTES DE PLUS,2 WEITERE CONTROLLER,,ANCORA 2 CONTROLLER,2 HANDKONTROLLER
3 MORE CONTROLLERS,3 MANETTES DE PLUS,3 WEITERE CONTROLLER,,ANCORA 3 CONTROLLER,3 HANDKONTROLLER
4 MORE CONTROLLERS,4 MANETTES DE PLUS,4 WEITERE CONTROLLER,,ANCORA 4 CONTROLLER,4 HANDKONTROLLER
SO ALL PLAYERS CAN JOIN.,"POUR QUE TOUT LE MONDE
PUISSE REJOINDRE LA PARTIE.","ANSCHLIESSEN,
DAMIT ALLE SPIELER
TEILNEHMEN KÖNNEN.",,"COSÌ TUTTI I GIOCATORI
POSSONO PARTECIPARE",SÅ ATT ALLA KAN GÅ MED.
"
OR PRESS 'ENTER'
IF ONE OF YOU WISHES
TO TAKE THE KEYBOARD.","
OU APPUYEZ SUR 'ENTRÉE'
SI L'UN D'ENTRE VOUS
SE DÉVOUE POUR LE CLAVIER.","ANSCHLIESSEN,

ODER DRÜCKE ENTER,
DAMIT EIN SPIELER
DIE TASTATUR NIMMT.",,"
OPPURE PREMI 'INVIO'
SE UNO DI VOI DESIDERA
PRENDERE LA TASTIERA.","
ELLER TRYCK PÅ ENTER
OM NÅGON AV ER VILL
TA TANGENTBORDET."
,,,,,
SPLIT-SCREEN,ÉCRAN DIVISÉ,,,SCHERMO DIVISO,
TALL,HAUT,,,VERTICALMENTE,
WIDE,LARGE,,,ORIZZONTALMENTE,
,,,,,
TIMER,CHRONOMÈTRE,TIMER,,TIMER,TIMER
HIDDEN,CACHÉ,VERSTECKT,,NASCOSTO,GÖMD
SIMPLE,SIMPLE,EINFACH,,SEMPLICE,ENKEL
PRO,PRO,PROFI,,PROFESSIONALE,PROFFS
,,,,,
PROGRAMMING,PROGRAMMATION,,,PROGRAMMAZIONE,
ART,GRAPHISME,,,GRAFICA,
MUSIC,MUSIQUE,,,MUSICA,
MODERN VERSION,VERSION MODERNE,,,VERSIONE MODERNA,
SPECIAL THANKS,MERCI À,,,GRAZIE SPECIALI,
ALL RIGHTS RESERVED,TOUS DROITS RÉSERVÉS,,,TUTTI I DIRITTI RISERVATI,
,,,,,
"YOU TAMPERED WITH THE GAME!
YOUR RACE TIMES WON'T BE SAVED.
DON'T WORRY -- EVERYTHING WILL BE BACK TO
NORMAL NEXT TIME YOU RESTART THE GAME!
","MÉCANO EN HERBE, TU AS BRICOLÉ LE JEU!
LE JEU N'ENREGISTRERA PAS TES TEMPS DE
COURSE. TOUT SERA REMIS EN ORDRE LA
PROCHAINE FOIS QUE TU LANCERAS LE JEU.
",,,"HAI MANOMESSO IL GIOCO!
I TUOI TEMPI NELLE CORSE NON VERRANNO SALVATI.
NON PREOCCUPARTI -- TUTTO TORNERÀ NORMALE
QUANDO RIAVVIERAI IL GIOCO!",
TWEAK CAR STATS,TRAFIQUER LES VOITURES,,,REGOLA I PARAMETRI DELLE AUTO,
FIDDLE WITH PHYSICS,BIDOUILLER LA PHYSIQUE,,,GIOCA CON LA FISICA,
RESET DEFAULT PARAMETERS,REMETTRE LES PARAMÈTRES INITIAUX,,,RIPRISTINA I PARAMETRI PREDEFINITI,
CAR,VOITURE,,,AUTO,
RESET THIS CAR,RÉINITIALISER CETTE VOITURE,,,RIPRISTINA QUESTA AUTO,
STEERING RESPONSIVENESS,NERVOSITÉ DE LA DIRECTION,,,RISPOSTA DELLO STERZO,
TURNING RESPONSIVENESS,RÉACTIVITÉ EN VIRAGE,,,RISPOSTA ALLA CURVA,
TURNING RADIUS,RAYON DES VIRAGES,,,RAGGIO DI CURVATURA,
TIRE TRACTION,ADHÉRENCE DES PNEUS,,,ADERENZA DELLE GOMME,
TIRE FRICTION,FRICTION DES PNEUS,,,ATTRITO DELLE GOMME,
GRAVITY,GRAVITÉ,,,GRAVITÀ,
HILL CLIMBING ASSIST,ASSISTANCE EN MONTÉE,,,ASSISTENZA SALITE,
TERRAIN BUMPINESS,TERRAIN CAHOTEUX,,,MONTUOSITÀ DEL TERRRENO,
"BIGGER = CARS WILL RESPOND TO
LEFT/RIGHT STEERING QUICKER.",,,,"PIÙ GRANDE = LE AUTO REAGIRANNO PIÙ
VELOCEMENTE ALLA STERZATA.",
"BIGGER = TIGHT TURNS WILL BE MORE
RESPONSIVE AT HIGH SPEEDS.",,,,"PIÙ GRANDE = MIGLIORE REATTIVITÀ NELLE
CURVE STRETTE AD ALTA VELOCITÀ.",
BIGGER = ALLOW TIGHTER TURNS.,,,,PIÙ GRANDE = PERMETTI CURVE PIÙ STRETTE.,
BIGGER = CARS WILL STICK TO THE ROAD MORE.,,,,PIÙ GRANDE = LE AUTO ADERIRANNO DI PIÙ ALLA STRADA.,
BIGGER = HARDER TO DRIVE ON ROUGH TERRAIN.,,,,PIÙ GRANDE = SARÀ PIÙ DIFFICILE GUIDARE SU TERRENO SCONNESSO.,
"BIGGER = CARS WILL FALL FASTER.
SMALLER = EVERYTHING WILL BE FLOATY.",,,,"PIÙ GRANDE = LE AUTO SARANNO PIÙ VELOCI.
PIÙ PICCOLO = TUTTO TENDERÀ A GALLEGGIARE.",
BIGGER = ABLE TO CLIMB STEEP HILLS EASIER.,,,,PIÙ GRANDE = SARÀ PIÙ FACILE SCALARE LE COLLINE.,
BIGGER = BUMPIER TERRAIN,,,,PIÙ GRANDE = TERRENO PIÙ MONTUOSO.,
,,,,,
BUTTON A,BOUTON A,,,BOTTONE A,KNAPP A
